BreedName,Group1,Temperment,AvgPupPrice,PopularityUS2017
Chinese Foo Dog,Working,"Friendly, Devoted, Courageous",2000,
Chinook,Working,"Alert, Calm, Dignified, Friendly, Responsive",900,179.0
Chocolate Labrador Retriever,Sporting,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1500,1.0
Chow Chow,Non Sporting,"Aloof, Independent, Loyal, Quiet, Intelligent, Protective, Detached",700,76.0
Cirneco dell'Etna,Hound,"Affectionate, Gentle, Lively",900,184.0
Clumber Spaniel,Sporting,"Gentle, Loyal, Affectionate, Dignified, Aloof",1000,140.0
Cockapoo,Sporting,"Affectionate, Alert, Cheerful, Friendly, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1000,
Cocker Spaniel,Sporting,"Even Tempered, Joyful, Merry, Outgoing, Intelligent, Sociable, Trusting",700,29.0
Collie,Herding,"Friendly, Gentle, Intelligent, Loyal, Protective, Responsive, Social",500,40.0
Coonhound,Hound,"Adaptable, Easygoing, Even-tempered, Gentle, Lovable, Trusting, Intelligent",350,130.0
Corgi,Herding,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100,68.0
Coton de Tulear,Non Sporting,"Affectionate, Intelligent, Lively, Playful, Trainable, Vocal",2700,81.0
Curly-Coated Retriever,Sporting,"Clever, Independent, Intelligent, Lively, Sensitive, Trainable",700,171.0
Dachshund,Hound,"Clever, Courageous, Devoted, Lively, Playful, Stubborn",600,13.0
Dalmatian,Non Sporting,"Active, Energetic, Friendly, Intelligent, Outgoing, Playful, Sensitive",800,63.0
Dandi Dinmont Terrier,Terrier,"Affectionate, Companionable, Determined, Fun-loving, Independent, Lively, Intelligent",1500,182.0
Doberman Pinscher,Working,"Alert, Energetic, Fearless, Intelligent, Loyal, Obedient",900,16.0
Dogo Argentino,Working,"Affectionate, Cheerful, Friendly, Loyal, Protective, Tolerant, Social",39000,
Dogue de Bordeaux,Working,"Companionable, Courageous, Devoted, Even-tempered, Loyal, Vigiliant",1150,67.0
Dutch Shepherd,Herding,"Affectionate, Alert, Loyal, Obedient, Reliable, Trainable",1100,
English Bulldog,Non Sporting,"Aggressive, Courageous, Friendly, Loving, Social, Sweet",1600,5.0
English Cocker Spaniel,Sporting,"Affectionate, Faithful, Friendly, Intelligent, Playful, Quiet, Trainable",1050,52.0
English Coonhound,Hound,"Active, Energetic, High-strung, Loyal",1100,178.0
English Pointer,Sporting,"Active, Affectionate, Amiable, Even-tempered, Kind, Loyal, Intelligent",450,113.0
English Setter,Sporting,"Strong-willed, Mischevious, Gentle, Energetic, Intelligent",500,95.0
English Shepherd,Herding,"Adaptable, Alert, Courageous, Energetic, Friendly, Independent, Intelligent, Playful, Responsibe",900,
English Springer Spaniel,Sporting,"Affectionate, Alert, Cheerful, Energetic, Intelligent, Playful, Social",750,27.0
English Toy Spaniel,Toy,"Affectionate, Gentle, Happy, Loving, Playful, Reserved",1400,134.0
Eskimo Dog,Non Sporting,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700,118.0
Feist,Terrier,"Agile, Alert, Lovable, Spirited, Swift",350,
Field Spaniel,Sporting,"Adaptable, Cautious, Docile, Familial, Sensitive, Sociable",900,145.0
Fila Brasileiro,Working,"Brave, Courageous, Determined, Docile, Loyal, Obedient",1150,
Finnish Lapphund,Herding,"Calm, Courageous, Faithful, Friendly, Keen",700,173.0
Finnish Spitz,Non Sporting,"Happy, Independent, Intelligent, Loyal, Playful, Vocal",600,177.0
Flat-coated Retriever,Sporting,"Friendly, Confident, Devoted, Optimistic, Outgoing, Intelligent",1100,96.0
Fox Terrier,Terrier,"Active, Affectionate, Alert, Fearless, Intelligent, Playful",850,122.0
Foxhound,Hound,"Independent, Intelligent, Kind, Loving, Loyal, Sweet-tempered",500,187.0
French Bulldog,Non Sporting,"Affectionate, Playful, Alert, Athletic, Bright, Easygoing, Keen, Lively, Patient",3000,4.0
Galgo Spanish Greyhound,Hound,"Affectionate, Calm, Quiet, Gentle",700,
German Pinscher,Working,"Even-tempered, Familial, Courageous, Lively, Loving, Spirited",1500,136.0
German Shepherd Dog,Herding,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",1400,2.0
German Shorthaired Pointer,Working,"Affectionate, Boisterous, Bold, Cooperative, Intelligent, Trainable",700,10.0
German Spitz,Non Sporting,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700,118.0
German Wirehaired Pointer,Sporting,"Active, Affectionate, Friendly, Intelligent, Loyal, Willful, Responsive",800,62.0
Giant Schnauzer,Working,"Dominant, Intelligent, Kind, Loyal, Powerful, Strong-willed",1250,80.0
Glen of Imaal Terrier,Terrier,"Active, Agile, Courageous, Gentle, Loyal, Spirited",900,158.0
Golden Retriever,Sporting,"Confident, Friendly, Intelligent, Kind, Reliable, Trustworthy",1500,3.0
Gordon Setter,Sporting,"Alert, Confident, Eager, Fearless, Loyal, Intelligent",900,104.0
Great Dane,Working,"Friendly, Confident, Devoted, Intelligent, Gentle, Loving, Reserved",1000,14.0
Great Pyrenees,Working,"Affectionate, Confident, Fearless, Gentle, Patient, Strong-willed",800,66.0
Greater Swiss Mountain Dog,Working,"Alert, Devoted, Fearless, Good-natured, Protective, Self-confident",2250,75.0
Greyhound,Hound,"Intelligent, Gentle, Affectionate, Athletic, Even-tempered, Quiet",650,156.0
Harrier,Hound,"Active, Cheerful, Friendly, Outgoing, Sweet-tempered, Tolerant",350,183.0
Havanese,Toy,"Affectionate, Companionable, Gentle, Intelligent, Playful, Responsive",1050,23.0
Hound,Hound,"Independent, Intelligent, Kind, Loving, Loyal, Sweet-tempered",500,187.0
Hovawart,Working,"Watchful, Even-tempered, Reserved, Active, Devoted",1100,
Husky,Working,"Alert, Friendly, Gentle, Intelligent, Outgoing",950,12.0
Ibizan Hound,Hound,"Active, Clownish, Engaging, Independent, Intelligent, Stubborn",1000,165.0
Illyrian Sheepdog,Herding,"Independent, Reliable, Devoted, Protective",1500,
Irish Setter,Sporting,"Affectionate, Companionable, Energetic, Independent, Lively, Playful, Intelligent",900,72.0
Irish Terrier,Terrier,"Dominant, Intelligent, Lively, Protective, Respectful, Trainable",700,114.0
Irish Water Spaniel,Sporting,"Active, Alert, Clownish, Inquisitive, Intelligent, Quick",900,164.0
Irish Wolfhound,Hound,"Dignified, Generous, Loyal, Patient, Sweet-tempered, Thoughtful, Intelligent",1900,73.0
Italian Greyhound,Toy,"Affectionate, Agile, Athletic, Companionable, Intelligent, Mischevious",900,74.0
Italian Spinone,Sporting,"Friendly, Loyal, Affectionate, Docile, Gentle, Patient",1750,111.0
Jack Russell Terrier,Terrier,"Alert, Cheerful, Courageous, Energetic, Independent",850,78.0
Jack Russell Terrier (Parson Russell Terrier),Terrier,"Energetic, Bold, Eager, Happy, Intelligent, Obedient",500,119.0
Japanese Chin,Toy,"Alert, Cat-like, Independent, Intelligent, Loving, Loyal, Playful",400,108.0
Jindo,Sporting,"Active, Bold, Brave, Faithful, Intelligent, Loyal",350,
Kai Dog,Non Sporting,"Intelligent, Agile, Alert, Brave",3000,
Karelian Bear Dog,Sporting,"Brave, Cautious, Loyal, Independent, Tenacious, Territorial",1100,
Keeshond,Non Sporting,"Agile, Bright, Obedient, Playful, Quick, Sturdy, Intelligent",900,87.0
Kerry Blue Terrier,Terrier,"Affectionate, Alert, Gentle, Loyal, Spirited, Strong-willed, Intelligent",550,129.0
Kishu,Sporting,"Alert, Dignified, Docile, Faithful, Noble",400,
Klee Kai,Non Sporting,"Active, Agile, Curious, Intelligent, Loyal, Quick, Territorial",1250,
